,CARD,DECK,BALLOT,S116.Q1,S116.Q2,S116.Q3,S116.Q4,S116.Q5,S116.Q6,S116.Q7,S116.Q8,S116.Q9,S116.Q10,S116.Q11,S116.Q12,S116.Q13A.n,S116.Q13B.n,S116.Q13C.n,S116.Q14,S116.Q15,S116.Q16,S116.Q17,S116.Q18,S116.Q19.n,S116.Q20A.n,S116.Q20B.n,S116.Q21,S116.Q22,S116.Q23A,S116.Q23B,S116.Q23C.n,S116.Q23D,S116.Q24,S116.Q24A.n,S116.Q24B.n,S116.Q24C.n,S116.Q25,S116.Q25A.n,S116.Q25B.n,S116.Q26,S116.Q26A.n,S116.Q27,S116.Q28,S116.Q29.n,S116.Q30,S116.Q31,S116.Q32,S116.Q33,S116.Q34,S116.Q35,S116.Q36A,S116.Q36B.n,S116.Q37,S116.Q37A.n,S116.Q38A,S116.Q38B.n,S116.Q39,S116.Q40,S116.Q41,S116.Q42,S116.Q43,S116.Q44,S116.Q45,S116.Q46,S116.Q47,S116.Q48,S116.Q49,S116.Q50,S116.Q51,S116.Q52,S116.Q53,S116.Q54,S116.Q55,S116.Q56,S116.Q57,S116.Q58,S116.Q59,S116.Q60,S116.Q61A,S116.Q61B,S116.Q61C,S116.Q61D,S116.Q61E,S116.Q61F,S116.Q61G,S116.Q61H,S116.Q61I,S116.Q61J.n,S116.Q61K,S116.Q61L,S116.Q61M,CARD..1,DECK..1,BALLOT..1,S116.Q61N.n,S116.Q61O,S116.Q61P,S116.Q61Q,S116.Q61R,S116.Q61S,S116.Q61T,S116.Q61U,S116.Q61V.n,S116.Q61W.1,S116.Q61W.2,S116.Q61W.3,S116.Q61W.4,S116.Q61W.5,S116.Q61W.6,S116.Q61W.7,S116.Q61W.8,S116.Q61W.9,S116.Q61W.10,S116.Q61W.11,S116.Q61W.12,S116.Q61W.13,S116.V62,S116.V63
2012,1.0,116.0,2013.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,5.0,6.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,3.0,1.0,1.0,4.0,3.0,2.0,5.0,,2.0,,3.0,,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2013.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,28.0
2013,1.0,116.0,2014.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,3.0,2.0,,2.0,1.0,,,,2.0,,,1.0,,1.0,2.0,,3.0,1.0,1.0,3.0,2.0,1.0,1.0,,2.0,,2.0,,6.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,,9.0,9.0,9.0,2.0,116.0,2014.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,14.0,31.0
2014,1.0,116.0,2015.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,4.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,4.0,1.0,1.0,3.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,2.0,4.0,,3.0,1.0,3.0,2.0,116.0,2015.0,,1.0,5.0,1.0,5.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,18.0,41.0
2015,1.0,116.0,2016.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,6.0,4.0,2.0,,2.0,1.0,,,,2.0,,,1.0,,1.0,1.0,,3.0,1.0,1.0,3.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,,1.0,2.0,1.0,2.0,116.0,2016.0,,3.0,4.0,2.0,4.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,38.0
2016,1.0,116.0,2017.0,5.0,2.0,1.0,1.0,1.0,0.0,10.0,1.0,3.0,5.0,2.0,2.0,,,,1.0,1.0,5.0,1.0,2.0,,,,3.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,4.0,,3.0,2.0,,1.0,1.0,1.0,4.0,1.0,4.0,6.0,,3.0,,2.0,,0.0,2.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2017.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,46.0
2017,1.0,116.0,2018.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,3.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,3.0,,2.0,,2.0,,6.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2018.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,28.0,10.0
2018,1.0,116.0,2019.0,4.0,2.0,4.0,4.0,3.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,3.0,0.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,1.0,3.0,3.0,4.0,6.0,,3.0,,3.0,,6.0,2.0,2.0,0.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2019.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,28.0,27.0
2019,1.0,116.0,2020.0,5.0,2.0,2.0,4.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,4.0,0.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,1.0,3.0,2.0,3.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,116.0,2020.0,,5.0,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,28.0,28.0
2020,1.0,116.0,2021.0,3.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,2.0,2.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,2.0,,2.0,,6.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,,2.0,2.0,3.0,2.0,116.0,2021.0,,3.0,3.0,4.0,1.0,3.0,1.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,27.0,13.0
2021,1.0,116.0,2022.0,5.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,1.0,2.0,,1.0,1.0,,,,3.0,,,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,6.0,2.0,4.0,2.0,3.0,,2.0,2.0,1.0,2.0,116.0,2022.0,,1.0,2.0,4.0,3.0,3.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,28.0,19.0
2022,1.0,116.0,2023.0,5.0,5.0,3.0,5.0,3.0,3.0,6.0,2.0,3.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,3.0,3.0,,5.0,1.0,1.0,4.0,2.0,3.0,1.0,,2.0,,2.0,,6.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,5.0,2.0,3.0,,2.0,2.0,3.0,2.0,116.0,2023.0,,3.0,3.0,4.0,4.0,2.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,3.0
2023,1.0,116.0,2024.0,2.0,5.0,2.0,3.0,3.0,3.0,8.0,5.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,5.0,0.0,,0.0,1.0,,,,1.0,,,3.0,,1.0,3.0,,4.0,1.0,1.0,4.0,3.0,3.0,1.0,,2.0,,3.0,,0.0,0.0,0.0,7.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,,2.0,9.0,1.0,2.0,116.0,2024.0,,3.0,3.0,4.0,2.0,3.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,41.0
2024,1.0,116.0,2025.0,3.0,5.0,4.0,4.0,2.0,5.0,10.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,,,,3.0,0.0,5.0,0.0,,0.0,1.0,,,,2.0,,,1.0,,1.0,2.0,,4.0,1.0,1.0,4.0,3.0,3.0,1.0,,2.0,,2.0,,0.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,116.0,2025.0,,2.0,1.0,5.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,13.0,37.0
2025,1.0,116.0,2026.0,5.0,5.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,0.0,1.0,1.0,,2.0,1.0,,,,2.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,4.0,2.0,2.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,116.0,2026.0,,4.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,7.0
2026,1.0,116.0,2027.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,2.0,3.0,5.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,2.0,0.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,1.0,4.0,3.0,4.0,6.0,,3.0,,1.0,,6.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,1.0,,2.0,2.0,9.0,2.0,116.0,2027.0,,9.0,9.0,9.0,9.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,13.0,39.0
2027,1.0,116.0,2028.0,4.0,5.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,2.0,4.0,2.0,,2.0,1.0,,,,2.0,,,3.0,,4.0,1.0,,3.0,1.0,1.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,,2.0,2.0,1.0,2.0,116.0,2028.0,,3.0,4.0,3.0,3.0,3.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,56.0
2028,1.0,116.0,2029.0,3.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0,2.0,1.0,,,,3.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,3.0,5.0,,2.0,1.0,,,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,4.0,3.0,3.0,1.0,,2.0,,1.0,,5.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,,4.0,2.0,3.0,2.0,116.0,2029.0,,1.0,1.0,4.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,3.0
2029,1.0,116.0,2030.0,4.0,4.0,2.0,4.0,2.0,3.0,9.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,5.0,0.0,,1.0,1.0,,,,1.0,,,1.0,,0.0,1.0,,2.0,1.0,1.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,5.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,116.0,2030.0,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,54.0
2030,1.0,116.0,2031.0,2.0,4.0,1.0,5.0,3.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,5.0,0.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,2.0,1.0,1.0,4.0,3.0,3.0,1.0,,2.0,,2.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,116.0,2031.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,17.0,60.0
2031,1.0,116.0,2032.0,2.0,4.0,2.0,4.0,3.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,4.0,1.0,2.0,,,,1.0,2.0,3.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,5.0,2.0,4.0,6.0,,2.0,,1.0,,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,,1.0,1.0,1.0,2.0,116.0,2032.0,,3.0,4.0,4.0,4.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,12.0
2032,1.0,116.0,2033.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,,,,3.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,2.0,1.0,1.0,4.0,4.0,3.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,6.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,9.0,1.0,2.0,3.0,0.0,2.0,,2.0,2.0,1.0,2.0,116.0,2033.0,,4.0,4.0,2.0,1.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,59.0
2033,1.0,116.0,2034.0,3.0,3.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,3.0,2.0,,2.0,1.0,,,,2.0,,,2.0,,1.0,2.0,,1.0,1.0,1.0,4.0,3.0,1.0,1.0,,2.0,,2.0,,6.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,1.0,3.0,3.0,2.0,116.0,2034.0,,4.0,5.0,2.0,4.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,14.0
2034,1.0,116.0,2035.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,,,,1.0,3.0,1.0,6.0,,1.0,1.0,,,,1.0,,,3.0,,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,3.0,5.0,,2.0,,1.0,,6.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,,2.0,1.0,3.0,2.0,116.0,2035.0,,3.0,2.0,4.0,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,23.0
2035,1.0,116.0,2036.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,2.0,,,,1.0,6.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,4.0,1.0,1.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,6.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2036.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,14.0,53.0
2036,1.0,116.0,2037.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,4.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,5.0,1.0,3.0,2.0,1.0,,1.0,1.0,1.0,2.0,116.0,2037.0,,3.0,1.0,4.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,15.0,62.0
2037,1.0,116.0,2038.0,4.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,1.0,4.0,3.0,3.0,0.0,,2.0,,1.0,,6.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,,9.0,9.0,1.0,2.0,116.0,2038.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,9.0
2038,1.0,116.0,2039.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,3.0,2.0,,3.0,1.0,,,,2.0,,,1.0,,1.0,2.0,,2.0,1.0,1.0,4.0,3.0,2.0,1.0,,2.0,,2.0,,6.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,,9.0,9.0,9.0,2.0,116.0,2039.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,20.0
2039,1.0,116.0,2040.0,1.0,6.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,3.0,1.0,,,,2.0,0.0,3.0,4.0,,1.0,1.0,,,,1.0,,,3.0,,1.0,1.0,,1.0,2.0,2.0,3.0,3.0,4.0,6.0,,1.0,,2.0,,6.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2040.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,18.0,62.0
2040,1.0,116.0,2041.0,1.0,6.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,1.0,,,,3.0,1.0,4.0,2.0,1.0,,,,3.0,1.0,4.0,5.0,,0.0,1.0,,,,1.0,,,3.0,,1.0,1.0,,3.0,2.0,3.0,2.0,3.0,3.0,5.0,,2.0,,1.0,,6.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2041.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,18.0,32.0
2041,1.0,116.0,2042.0,1.0,6.0,1.0,2.0,4.0,0.0,10.0,6.0,0.0,6.0,0.0,4.0,,,,4.0,3.0,5.0,1.0,1.0,,,,3.0,0.0,5.0,0.0,,0.0,1.0,,,,1.0,,,4.0,,0.0,0.0,,6.0,0.0,4.0,0.0,1.0,4.0,6.0,,1.0,,3.0,,0.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2042.0,,2.0,5.0,1.0,9.0,9.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,15.0,13.0
2042,1.0,116.0,2043.0,0.0,6.0,2.0,2.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,,,,2.0,3.0,3.0,3.0,1.0,,,,2.0,0.0,3.0,0.0,,0.0,1.0,,,,3.0,,,1.0,,4.0,3.0,,6.0,2.0,3.0,4.0,4.0,0.0,0.0,,3.0,,1.0,,6.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,2043.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,19.0,34.0
