,CARD,DECK,BALLOT,S134.Q1,S134.Q2,S134.Q3,S134.Q4,S134.Q5,S134.Q6,S134.Q7.n,S134.Q8,S134.Q9,S134.Q10,S134.Q11,S134.Q12,S134.Q13,S134.Q14,S134.Q15,S134.Q16,S134.Q17,S134.Q18,S134.Q19,S134.Q20,S134.Q21,S134.Q22,S134.Q23A,S134.Q23B,S134.Q24,S134.Q25,S134.Q26,S134.Q27A,S134.Q27B,S134.Q27C,S134.Q28A,S134.Q28B,S134.Q29A,S134.Q29B,S134.Q30A,S134.Q30B,S134.Q31,S134.Q32A,S134.Q32B,S134.Q33A,S134.Q33B,S134.Q34.n,S134.Q35,S134.Q36.n,S134.Q37,S134.Q38,S134.Q39,S134.Q40,S134.Q41,S134.Q42,S134.Q43,S134.Q44,S134.Q45,S134.Q46,S134.Q47,S134.Q48,S134.Q49,S134.Q50,S134.Q51,S134.Q52,S134.Q53,S134.Q54,S134.Q55,S134.Q56,S134.Q57,S134.Q58,S134.Q59,S134.Q60,S134.Q61,S134.Q62,S134.Q63.n,S134.Q64,S134.Q65,S134.Q66.n,S134.Q67.n,S134.Q68.n,S134.Q69,S134.V70
793,1.0,134.0,794.0,1.0,4.0,3.0,1.0,4.0,5.0,,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,,3.0,,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,,2.0,2.0,,,,2.0,9.0
794,1.0,134.0,795.0,1.0,4.0,3.0,1.0,4.0,1.0,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,,,,2.0,2.0
795,1.0,134.0,796.0,1.0,3.0,2.0,1.0,2.0,3.0,,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,3.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,3.0,,,,2.0,3.0
796,1.0,134.0,797.0,3.0,5.0,3.0,1.0,4.0,1.0,,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,3.0,3.0,3.0,3.0,1.0,5.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,9.0
797,1.0,134.0,798.0,1.0,3.0,2.0,1.0,4.0,1.0,,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,0.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,2.0,3.0,,,,2.0,2.0
798,1.0,134.0,799.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,2.0,9.0
799,1.0,134.0,800.0,1.0,3.0,2.0,2.0,5.0,1.0,,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,,3.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,3.0,4.0
800,1.0,134.0,801.0,1.0,5.0,3.0,3.0,5.0,5.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,2.0
801,1.0,134.0,802.0,3.0,4.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,3.0,6.0
802,1.0,134.0,803.0,4.0,5.0,2.0,3.0,5.0,5.0,,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,5.0
803,1.0,134.0,804.0,1.0,4.0,3.0,1.0,4.0,6.0,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,,1.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,2.0,,,,2.0,2.0
804,1.0,134.0,805.0,1.0,3.0,3.0,1.0,5.0,5.0,,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,,3.0,,4.0,2.0,3.0,1.0,3.0,3.0,5.0,6.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,,2.0,1.0,,,,3.0,9.0
805,1.0,134.0,806.0,1.0,3.0,3.0,1.0,2.0,1.0,,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,,3.0,,2.0,3.0,3.0,1.0,3.0,3.0,5.0,6.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,,2.0,3.0,,,,2.0,10.0
806,1.0,134.0,807.0,1.0,4.0,3.0,1.0,4.0,1.0,,2.0,3.0,0.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,,3.0,,4.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,,,,2.0,9.0
807,1.0,134.0,808.0,2.0,3.0,2.0,1.0,4.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,3.0,,1.0,3.0,3.0,3.0,3.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,,2.0,2.0,,,,2.0,4.0
808,1.0,134.0,809.0,1.0,4.0,3.0,1.0,5.0,5.0,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,,3.0,,2.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,2.0,2.0,,,,3.0,6.0
809,1.0,134.0,810.0,1.0,4.0,2.0,1.0,5.0,6.0,,1.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,,3.0,,1.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,3.0,5.0
810,1.0,134.0,811.0,1.0,3.0,1.0,1.0,3.0,3.0,,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,,2.0,,1.0,3.0,3.0,1.0,3.0,1.0,5.0,6.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,2.0,3.0,,,,3.0,4.0
811,1.0,134.0,812.0,1.0,5.0,3.0,1.0,3.0,1.0,,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,,2.0,,1.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,,2.0,1.0,,,,3.0,8.0
812,1.0,134.0,813.0,1.0,3.0,2.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,11.0
813,1.0,134.0,814.0,1.0,4.0,2.0,2.0,4.0,1.0,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,,2.0,,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,1.0,,,,2.0,5.0
814,1.0,134.0,815.0,3.0,4.0,2.0,1.0,4.0,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,,2.0,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,2.0,5.0
815,1.0,134.0,816.0,3.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,,2.0,,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,2.0,9.0
816,1.0,134.0,817.0,1.0,3.0,2.0,2.0,4.0,1.0,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,,2.0,,2.0,3.0,3.0,3.0,3.0,2.0,5.0,6.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,4.0
817,1.0,134.0,818.0,2.0,5.0,3.0,1.0,4.0,1.0,,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,,3.0,,1.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,,2.0,4.0,,,,3.0,9.0
818,1.0,134.0,819.0,4.0,5.0,3.0,4.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,3.0,9.0
819,1.0,134.0,820.0,2.0,4.0,3.0,1.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,,1.0,,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,2.0,2.0,,,,3.0,7.0
820,1.0,134.0,821.0,5.0,5.0,3.0,1.0,5.0,1.0,,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,,2.0,1.0,,,,2.0,9.0
821,1.0,134.0,822.0,1.0,3.0,2.0,2.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,2.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,,2.0,2.0,,,,3.0,7.0
822,1.0,134.0,823.0,1.0,2.0,2.0,1.0,4.0,6.0,,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,,2.0,,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,9.0
823,1.0,134.0,824.0,1.0,3.0,3.0,3.0,3.0,1.0,,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,3.0,6.0
824,1.0,134.0,825.0,1.0,4.0,2.0,1.0,2.0,3.0,,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,3.0,1.0,,1.0,,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,3.0,,,,3.0,4.0
825,1.0,134.0,826.0,1.0,3.0,2.0,1.0,3.0,0.0,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,,2.0,2.0,,,,3.0,4.0
826,1.0,134.0,827.0,3.0,5.0,3.0,2.0,3.0,1.0,,3.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,4.0,5.0,3.0,1.0,5.0,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,2.0,2.0,,,,2.0,9.0
827,1.0,134.0,828.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,9.0
828,1.0,134.0,829.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0
829,1.0,134.0,830.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,3.0,4.0,1.0,,2.0,,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,,,,2.0,7.0
830,1.0,134.0,831.0,1.0,5.0,3.0,1.0,4.0,3.0,,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0,,2.0,,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,,2.0,1.0,,,,3.0,8.0
831,1.0,134.0,832.0,1.0,4.0,2.0,1.0,3.0,0.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,,2.0,,1.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,2.0,4.0
832,1.0,134.0,833.0,1.0,4.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,,3.0,,3.0,1.0,0.0,3.0,1.0,3.0,3.0,0.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,,2.0,1.0,,,,2.0,2.0
833,1.0,134.0,834.0,1.0,3.0,2.0,1.0,3.0,1.0,,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,2.0,,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,3.0,,,,2.0,3.0
834,1.0,134.0,835.0,1.0,5.0,2.0,1.0,5.0,1.0,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,,1.0,,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,2.0,5.0
835,1.0,134.0,836.0,3.0,5.0,3.0,1.0,5.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,,,,3.0,11.0
