,CARD,DECK,BALLOT,FORM,S207F.Qi1,S207F.Qi2,S207F.Qi3,S207F.Qi4,S207F.Qi5,S207F.Qi6,S207F.Qi7,S207F.Qi8A,S207F.Qi8B,S207F.Qi9,S207F.Qi10,S207F.Qi11,S207F.Qi12,S207F.Qi13,S207F.Qi14,S207F.Qi15,S207F.Qi16,S207F.Qi17,S207F.Qi18,S207F.Qi19,S207F.Qi20,S207F.Qi21,S207F.Qi22,S207F.Qi23,S207F.Qi24,S207F.Qi25,S207F.Qi26,S207F.Qi27,S207F.Qi28A,S207F.Qi28B,S207F.Qi28C,S207F.Qi29.n,S207F.Qi30.n,S207F.Qi31,S207F.Qi32,S207F.Qi33,S207F.Qi34,S207F.Qi35,S207F.Qi36,S207F.Qi37,S207F.Qi38,S207F.Qi39,S207F.Qi40A1,S207F.Qi40A2,S207F.Qi40A3,S207F.Qi40B.n,S207F.Qi41,S207F.Qi42.1,S207F.Qi42.2,S207F.Qi42.3,S207F.Qi42.4,S207F.Qi42.5,S207F.Qi42.6,S207F.Qi42.7,S207F.Qi42.8,S207F.Qi42.9,S207F.Qi42.10,S207F.Qi42.11,S207F.Qi42.12,S207F.Qi43,S207F.Qi44,S207F.Qi45,S207F.Qi46A,S207F.Qi46B,S207F.Qi46C,S207F.Qi46D,S207F.Qi46E,CARD..1,DECK..1,BALLOT..1,FORM..1,S207F.Qi46F,S207F.Qi46G,S207F.Qi46H,S207F.Qi47A,S207F.Qi47B,S207F.Qi47C,S207F.Qi47D,S207F.Qi47E,S207F.Qi47F,S207F.Qi48,S207F.Qi49,S207F.Qi50.1,S207F.Qi50.2,S207F.Qi50.3,S207F.Qi50.4,S207F.Qi50.5,S207F.Qi50.6,S207F.Qi50.7,S207F.Qi50.8,S207F.Qi51,S207F.Qi52A,S207F.Qi52B,S207F.Qi52C,S207F.Qi53,S207F.Qi54A,S207F.Qi54B,S207F.Qi55,S207F.Qi56,S207F.Qi57,S207F.Qi58A,S207F.Qi58B,S207F.Qi58C,S207F.Qi58D,S207F.Qi58E,S207F.Qi58F,S207F.Qi58G,S207F.Qi58H,S207F.Qi59,S207F.Qi60,S207F.Qi61,S207F.Qi62,S207F.Qi63,S207F.Qi64,S207F.Qi65,S207F.Qi66,S207F.Qi67,S207F.Qi68A,S207F.Qi68B,S207F.Qi68C,S207F.Qi68D,S207F.Qi69,S207F.Qi70A,S207F.Qi70B,S207F.Qi71,S207F.Qi72,S207F.Qi73,S207F.Qi76,S207F.Qi77,S207F.Qi78A,S207F.Qi78B,S207F.Qi79,S207F.Qi80,S207F.Qi81,S207F.Qi82,S207F.Qi83,S207F.Qi84,S207F.Qii1,S207F.Qii1A,CARD..2,DECK..2,BALLOT..2,FORM..2,S207F.Qii1B,S207F.Qii3B,S207F.Qii3C,S207F.Vii3D1,S207F.Vii3D2,S207F.Vii4A,S207F.Qii5.n,S207F.Vii6,S207F.Vii7,S207F.Vii8
1508,1.0,207.0,1509.0,1.0,5.0,4.0,5.0,1.0,1.0,3.0,2.0,10.0,10.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,8.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,,,1.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,7.0,3.0,3.0,1.0,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,207.0,1509.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,8.0,0.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,207.0,1509.0,1.0,1.0,2.0,2.0,26.0,10.0,4.0,,1.0,10.0,53.0
1509,1.0,207.0,1510.0,1.0,5.0,4.0,9.0,2.0,1.0,3.0,5.0,11.0,10.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,,,1.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,2.0,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1510.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,207.0,1510.0,1.0,1.0,2.0,2.0,21.0,8.0,4.0,,2.0,12.0,54.0
1510,1.0,207.0,1511.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,5.0,11.0,11.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,,,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,207.0,1511.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,207.0,1511.0,1.0,1.0,2.0,1.0,21.0,11.0,3.0,,1.0,12.0,132.0
1511,1.0,207.0,1512.0,1.0,5.0,4.0,9.0,2.0,1.0,3.0,7.0,10.0,10.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,4.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,7.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,207.0,1512.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,2.0,2.0,2.0,1.0,6.0,6.0,4.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,207.0,1512.0,1.0,1.0,2.0,1.0,24.0,11.0,3.0,,3.0,12.0,78.0
1512,1.0,207.0,1513.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,6.0,11.0,11.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,,1.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,6.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1513.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,3.0,3.0,1.0,6.0,0.0,4.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,207.0,1513.0,1.0,1.0,1.0,1.0,23.0,14.0,2.0,,1.0,12.0,126.0
1513,1.0,207.0,1514.0,1.0,5.0,4.0,7.0,1.0,1.0,3.0,6.0,11.0,8.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,9.0,1.0,4.0,4.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,,,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,0.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1514.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,0.0,1.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,207.0,1514.0,1.0,1.0,2.0,1.0,25.0,13.0,3.0,,3.0,13.0,91.0
1514,1.0,207.0,1515.0,1.0,4.0,5.0,7.0,2.0,1.0,3.0,1.0,11.0,11.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,,,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1515.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,6.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,207.0,1515.0,1.0,1.0,1.0,1.0,25.0,14.0,5.0,,1.0,3.0,39.0
1515,1.0,207.0,1516.0,1.0,5.0,5.0,6.0,2.0,1.0,3.0,1.0,10.0,10.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,6.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1516.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,207.0,1516.0,1.0,1.0,2.0,2.0,24.0,9.0,3.0,,1.0,4.0,98.0
1516,1.0,207.0,1517.0,1.0,5.0,4.0,6.0,2.0,1.0,3.0,5.0,10.0,10.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,207.0,1517.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,207.0,1517.0,1.0,1.0,1.0,1.0,22.0,13.0,3.0,,2.0,2.0,109.0
1517,1.0,207.0,1518.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,6.0,10.0,10.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,,,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,7.0,3.0,3.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,207.0,1518.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,207.0,1518.0,1.0,3.0,2.0,2.0,22.0,10.0,2.0,,2.0,3.0,25.0
1518,1.0,207.0,1519.0,1.0,5.0,3.0,9.0,2.0,1.0,3.0,6.0,11.0,11.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,3.0,3.0,2.0,3.0,3.0,2.0,1.0,5.0,6.0,3.0,3.0,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,207.0,1519.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,8.0,8.0,10.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,3.0,207.0,1519.0,1.0,1.0,2.0,2.0,24.0,11.0,2.0,,5.0,5.0,65.0
1519,1.0,207.0,1520.0,1.0,5.0,4.0,6.0,2.0,1.0,3.0,3.0,11.0,11.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3.0,0.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,207.0,1520.0,1.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,8.0,9.0,9.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,207.0,1520.0,1.0,1.0,2.0,2.0,23.0,8.0,3.0,,1.0,7.0,103.0
1520,1.0,207.0,1521.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,1.0,10.0,10.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,9.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,7.0,3.0,3.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,207.0,1521.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,207.0,1521.0,1.0,1.0,1.0,1.0,22.0,10.0,3.0,,1.0,6.0,51.0
1521,1.0,207.0,1522.0,1.0,5.0,5.0,7.0,2.0,1.0,3.0,4.0,10.0,10.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,3.0,4.0,2.0,2.0,2.0,2.0,1.0,6.0,7.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,207.0,1522.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,2.0,2.0,0.0,6.0,0.0,8.0,0.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,207.0,1522.0,1.0,1.0,2.0,2.0,21.0,9.0,3.0,,2.0,4.0,15.0
1522,1.0,207.0,1523.0,1.0,6.0,4.0,7.0,2.0,1.0,3.0,1.0,10.0,11.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,207.0,1523.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0,5.0,3.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,207.0,1523.0,1.0,1.0,1.0,1.0,24.0,13.0,3.0,,1.0,6.0,49.0
1523,1.0,207.0,1524.0,1.0,5.0,4.0,7.0,1.0,1.0,3.0,6.0,11.0,10.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,,,3.0,3.0,1.0,3.0,2.0,4.0,9.0,6.0,7.0,3.0,2.0,0.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,207.0,1524.0,1.0,0.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,5.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,3.0,207.0,1524.0,1.0,1.0,2.0,1.0,25.0,14.0,3.0,,3.0,8.0,82.0
1524,1.0,207.0,1525.0,1.0,5.0,3.0,8.0,2.0,1.0,3.0,5.0,10.0,11.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,207.0,1525.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,9.0,9.0,5.0,7.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,207.0,1525.0,1.0,1.0,2.0,1.0,23.0,11.0,4.0,,1.0,8.0,8.0
1525,1.0,207.0,1526.0,1.0,5.0,3.0,8.0,1.0,1.0,3.0,7.0,10.0,10.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,,,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,3.0,1.0,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,207.0,1526.0,1.0,3.0,4.0,4.0,3.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,8.0,8.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,207.0,1526.0,1.0,1.0,1.0,1.0,25.0,12.0,2.0,,1.0,10.0,23.0
1526,1.0,207.0,1527.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,1.0,11.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,207.0,1527.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,6.0,4.0,8.0,0.0,7.0,11.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,207.0,1527.0,1.0,1.0,1.0,1.0,24.0,15.0,6.0,,1.0,7.0,142.0
1527,1.0,207.0,1528.0,1.0,3.0,5.0,6.0,2.0,1.0,3.0,6.0,10.0,10.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,3.0,3.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,207.0,1528.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,5.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,207.0,1528.0,1.0,1.0,1.0,1.0,25.0,14.0,6.0,,1.0,3.0,23.0
